date,open,high,low,close,volume
2018-08-22,3.385,3.385,3.356,3.373,116553337.0
2018-08-23,3.375,3.403,3.345,3.383,245065534.0
2018-08-24,3.377,3.416,3.349,3.388,203133054.0
2018-08-27,3.395,3.474,3.395,3.473,224129105.0
2018-08-28,3.474,3.484,3.453,3.463,143206281.0
2018-08-29,3.459,3.463,3.441,3.45,132357316.0
2018-08-30,3.45,3.468,3.41,3.416,162923699.0
2018-08-31,3.402,3.424,3.372,3.39,149124071.0
2018-09-03,3.386,3.395,3.351,3.383,140562775.0
2018-09-04,3.382,3.438,3.37,3.423,174997837.0
2018-09-05,3.41,3.416,3.352,3.353,195263963.0
2018-09-06,3.351,3.378,3.314,3.324,213334039.0
2018-09-07,3.334,3.384,3.313,3.346,185057798.0
2018-09-10,3.333,3.343,3.294,3.298,160330584.0
2018-09-11,3.299,3.314,3.274,3.286,225378210.0
2018-09-12,3.285,3.291,3.259,3.263,206182200.0
2018-09-13,3.296,3.315,3.257,3.298,259771423.0
2018-09-14,3.302,3.315,3.288,3.303,175624021.0
2018-09-17,3.285,3.291,3.264,3.272,115650820.0
2018-09-18,3.261,3.339,3.26,3.335,236746841.0
2018-09-19,3.33,3.407,3.323,3.38,446329246.0
2018-09-20,3.38,3.413,3.371,3.378,244090449.0
2018-09-21,3.388,3.486,3.377,3.484,477366017.0
2018-09-25,3.447,3.458,3.43,3.449,208980617.0
2018-09-26,3.45,3.516,3.448,3.487,301578428.0
2018-09-27,3.475,3.487,3.46,3.472,231202883.0
2018-09-28,3.477,3.512,3.473,3.508,302266815.0
2018-10-08,3.431,3.434,3.34,3.341,429904746.0
2018-10-09,3.348,3.371,3.336,3.348,196570044.0
2018-10-10,3.351,3.378,3.314,3.346,263664079.0
2018-10-11,3.25,3.272,3.15,3.174,667556837.0
2018-10-12,3.178,3.249,3.161,3.233,500732547.0
2018-10-15,3.239,3.242,3.183,3.186,292629244.0
2018-10-16,3.19,3.228,3.153,3.165,493884019.0
2018-10-17,3.205,3.215,3.125,3.176,643736526.0
2018-10-18,3.155,3.165,3.105,3.106,593291440.0
2018-10-19,3.09,3.2,3.073,3.185,673105315.0
2018-10-22,3.25,3.37,3.2,3.353,934186388.0
2018-10-23,3.35,3.352,3.222,3.24,859975998.0
